,word,phonetic
0,"a, an", [ə；æn]
1,abandon, [əˈbændən]
2,ability, [əˈbɪləti]
3,able,[ˈeɪbl]
4,about ,[əˈbaʊt]
5,above, [əˈbʌv]
6,abroad , [əˈbrɔːd]
7,absolute,[ˈæbsəluːt]
8,absolutely,[ˈæbsəluːtli]
9,academic ,[ˌækəˈdemɪk]
10,accept, [əkˈsept]
11,acceptable,[əkˈseptəbl]
12,access,[ˈækses]
13,accident ,[ˈæksɪdənt]
14,accommodation,[əˌkɑːməˈdeɪʃn]
15,accompany,[əˈkʌmpəni]
16,according to,[əˈkɔːrdɪŋ tə]
17,account , [əˈkaʊnt]
18,accurate,[ˈækjərət]
19,accuse ,[əˈkjuːz]
20,achieve ,[əˈtʃiːv]
21,achievement,[əˈtʃiːvmənt]
22,acknowledge,[əkˈnɑːlɪdʒ]
23,acquire ,[əˈkwaɪər]
24,across,[əˈkrɔːs]
25,act,[ækt]
26,action, [ˈækʃn]
27,active,[ˈæktɪv]
28,activity,[ækˈtɪvəti]
29,actor,[ˈæktər]
30,actress,[ˈæktrəs]
31,actual ,[ˈæktʃuəl]
32,actually,[ˈæktʃuəli]
33,ad,[æd]
34,adapt,[əˈdæpt]
35,add ,[æd]
36,addition, [əˈdɪʃn]
37,additional,[əˈdɪʃənl]
38,address ," [əˈdres,ˈædres]"
39,administration ,[ədˌmɪnɪˈstreɪʃn]
40,admire,[ədˈmaɪər]
41,admit ,[ədˈmɪt]
42,adopt,[əˈdɑːpt]
43,adult,"[əˈdʌlt,ˈædʌlt]"
44,advance, [ədˈvæns]
45,advanced,[ədˈvænst]
46,advantage,[ədˈvæntɪdʒ]
47,adventure,[ədˈventʃər]
48,advertise, [ˈædvərtaɪz]
49,advertisement,[ˌædvərˈtaɪzmənt]
50,advertising,[ˈædvərtaɪzɪŋ]
51,advice,[ədˈvaɪs]
52,advise,[ədˈvaɪz]
53,affair,[əˈfer]
54,affect,[əˈfekt]
55,afford, [əˈfɔːrd]
56,afraid, [əˈfreɪd]
57,after, [ˈæftər]
58,afternoon,[ˌæftərˈnuːn]
59,afterwards,[ˈæftərwərdz]
60,again,"[əˈɡen,əˈɡeɪn]"
61,against,"[əˈɡenst,əˈɡeɪnst]"
62,age, [eɪdʒ]
63,aged,['edʒɪd]
64,agency,[ˈeɪdʒənsi]
65,agenda,[əˈdʒendə]
66,agent,[ˈeɪdʒənt]
67,aggressive, [əˈɡresɪv]
68,ago,[əˈɡoʊ]
69,agree,[əˈɡriː]
70,agreement,[əˈɡriːmənt]
71,ah,[ɑː]
72,ahead,[əˈhed]
73,aid,[eɪd]
